time,sensor_id,r_x_km,r_y_km,r_z_km,v_x_km/s,v_y_km/s,v_z_km/s,ra_deg,dec_deg,ra_rate_deg/s,dec_rate_deg/s
9000,gps_measurement,-11190.56051,-1936.623544,-11949.41675,-2.647063722,-4.622574958,-1.827439564,,,,
9600,gps_measurement,-12613.92128,-4670.760623,-12874.18905,-2.11889669,-4.479699741,-1.275762836,,,,
9600,gps_measurement,-12618.68867,-4667.445849,-12880.03202,-2.119721837,-4.479872711,-1.275637303,,,,
10200,gps_measurement,-13751.9195,-7303.197602,-13495.76964,-1.699697538,-4.290510818,-0.855949684,,,,
10200,gps_measurement,-13754.70316,-7298.100112,-13502.74194,-1.69957758,-4.291382152,-0.855907024,,,,
10800,gps_measurement,-14666.87863,-9809.390842,-13910.88629,-1.358080838,-4.087485724,-0.527675755,,,,
10800,gps_measurement,-14673.48146,-9815.108144,-13922.11735,-1.358652192,-4.087179538,-0.52782519,,,,
11400,gps_measurement,-15397.03217,-12199.95929,-14152.99938,-1.076176359,-3.880800605,-0.262448025,,,,
11400,gps_measurement,-15401.98886,-12195.86246,-14154.04795,-1.075929935,-3.87954335,-0.263758209,,,,
12000,gps_measurement,-15965.63497,-14478.5734,-14236.41444,-0.836703515,-3.677228551,-0.046029804,,,,
12000,gps_measurement,-15971.95954,-14473.16689,-14242.12802,-0.837251111,-3.67865462,-0.045380001,,,,
